#       k [h/Mpc]           P_cdm          P_vcdm         P_total
          0.0001     0.000166783     0.000166783     0.000166783
     0.000106333     0.000176978     0.000176978     0.000176978
     0.000113066     0.000187796     0.000187796     0.000187796
     0.000120226     0.000199275     0.000199275     0.000199275
      0.00012784     0.000211454     0.000211454     0.000211454
     0.000135936     0.000224376     0.000224376     0.000224376
     0.000144544     0.000238088     0.000238088     0.000238088
     0.000153697     0.000252635     0.000252635     0.000252635
     0.000163431      0.00026807      0.00026807      0.00026807
      0.00017378     0.000284445     0.000284445     0.000284445
     0.000184785     0.000301819     0.000301819     0.000301819
     0.000196487     0.000320251     0.000320251     0.000320251
      0.00020893     0.000339805     0.000339805     0.000339805
      0.00022216     0.000360548     0.000360548     0.000360548
     0.000236229     0.000382553     0.000382553     0.000382553
     0.000251189     0.000405896     0.000405896     0.000405896
     0.000267096     0.000430655     0.000430655     0.000430655
      0.00028401     0.000456917     0.000456917     0.000456917
     0.000301995      0.00048477      0.00048477      0.00048477
     0.000321119     0.000514309     0.000514309     0.000514309
     0.000341455     0.000545634     0.000545634     0.000545634
     0.000363078      0.00057885      0.00057885      0.00057885
     0.000386071     0.000614069     0.000614069     0.000614069
     0.000410519     0.000651407     0.000651407     0.000651407
     0.000436516     0.000690988     0.000690988     0.000690988
     0.000464159      0.00073294      0.00073294      0.00073294
     0.000493552     0.000777401     0.000777401     0.000777401
     0.000524807     0.000824513     0.000824513     0.000824513
     0.000558042     0.000874425     0.000874425     0.000874425
     0.000593381     0.000927294     0.000927294     0.000927294
     0.000630957     0.000983285     0.000983285     0.000983285
     0.000670914      0.00104257      0.00104257      0.00104257
       0.0007134      0.00110532      0.00110532      0.00110532
     0.000758578      0.00117172      0.00117172      0.00117172
     0.000806616      0.00124197      0.00124197      0.00124197
     0.000857696      0.00131626      0.00131626      0.00131626
     0.000912011       0.0013948       0.0013948       0.0013948
     0.000969765      0.00147779      0.00147779      0.00147779
      0.00103118      0.00156545      0.00156545      0.00156545
      0.00109648      0.00165799      0.00165799      0.00165799
      0.00116591      0.00175563      0.00175563      0.00175563
      0.00123975       0.0018586       0.0018586       0.0018586
      0.00131826      0.00196712      0.00196712      0.00196712
      0.00140174       0.0020814       0.0020814       0.0020814
       0.0014905      0.00220166      0.00220166      0.00220166
      0.00158489      0.00232811      0.00232811      0.00232811
      0.00168526      0.00246095      0.00246095      0.00246095
      0.00179198      0.00260037      0.00260037      0.00260037
      0.00190546      0.00274654      0.00274654      0.00274654
      0.00202613      0.00289962      0.00289962      0.00289962
      0.00215443      0.00305974      0.00305974      0.00305974
      0.00229087      0.00322702      0.00322702      0.00322702
      0.00243594      0.00340152      0.00340152      0.00340152
       0.0025902      0.00358328      0.00358328      0.00358328
      0.00275423      0.00377232      0.00377232      0.00377232
      0.00292864      0.00396857      0.00396857      0.00396857
      0.00311411      0.00417196      0.00417196      0.00417196
      0.00331131      0.00438231      0.00438231      0.00438231
      0.00352101      0.00459941      0.00459941      0.00459941
      0.00374398      0.00482299      0.00482299      0.00482299
      0.00398107      0.00505266      0.00505266      0.00505266
      0.00423318      0.00528801      0.00528801      0.00528801
      0.00450125       0.0055285       0.0055285       0.0055285
       0.0047863       0.0057735       0.0057735       0.0057735
       0.0050894      0.00602232      0.00602232      0.00602232
       0.0054117      0.00627412      0.00627412      0.00627412
       0.0057544      0.00652799      0.00652799      0.00652799
      0.00611881       0.0067829       0.0067829       0.0067829
      0.00650629      0.00703768      0.00703768      0.00703768
      0.00691831      0.00729106      0.00729106      0.00729106
      0.00735642      0.00754167      0.00754167      0.00754167
      0.00782228      0.00778795      0.00778795      0.00778795
      0.00831764      0.00802828      0.00802828      0.00802828
      0.00884437      0.00826084      0.00826084      0.00826084
      0.00940445      0.00848371      0.00848371      0.00848371
            0.01      0.00869482      0.00869482      0.00869482
       0.0106333      0.00889194      0.00889194      0.00889194
       0.0113066      0.00907271      0.00907271      0.00907271
       0.0120226       0.0092346       0.0092346       0.0092346
        0.012784      0.00937497      0.00937497      0.00937497
       0.0135936      0.00949102      0.00949102      0.00949102
       0.0144544      0.00957987      0.00957987      0.00957987
       0.0153697      0.00963854      0.00963854      0.00963854
       0.0163431       0.0096641       0.0096641       0.0096641
        0.017378      0.00965367      0.00965367      0.00965367
       0.0184785      0.00960463      0.00960463      0.00960463
       0.0196487      0.00951479      0.00951479      0.00951479
        0.020893      0.00938256      0.00938256      0.00938256
        0.022216      0.00920732      0.00920732      0.00920732
       0.0236229      0.00898961      0.00898961      0.00898961
       0.0251189      0.00873143      0.00873143      0.00873143
       0.0267096      0.00843643      0.00843643      0.00843643
        0.028401      0.00810995      0.00810995      0.00810995
       0.0301995      0.00775884      0.00775884      0.00775884
       0.0321119      0.00739118      0.00739118      0.00739118
       0.0341455      0.00701571      0.00701571      0.00701571
       0.0363078      0.00664121      0.00664121      0.00664121
       0.0386071      0.00627588      0.00627588      0.00627588
       0.0410519      0.00592683      0.00592683      0.00592683
       0.0436516      0.00559979      0.00559979      0.00559979
       0.0464159      0.00529885      0.00529885      0.00529885
       0.0493552      0.00502641      0.00502641      0.00502641
       0.0524807      0.00478289      0.00478289      0.00478289
       0.0558042      0.00456628      0.00456628      0.00456628
       0.0593381      0.00437145      0.00437145      0.00437145
       0.0630957      0.00418951      0.00418951      0.00418951
       0.0670914      0.00400775      0.00400775      0.00400775
         0.07134       0.0038109       0.0038109       0.0038109
       0.0758578       0.0035846       0.0035846       0.0035846
       0.0806616      0.00332063      0.00332063      0.00332063
       0.0857696      0.00302253      0.00302253      0.00302253
       0.0912011      0.00270819      0.00270819      0.00270819
       0.0969765      0.00240634      0.00240634      0.00240634
        0.103118      0.00214687      0.00214687      0.00214687
        0.109648      0.00194862      0.00194862      0.00194862
        0.116591      0.00181002      0.00181002      0.00181002
        0.123975      0.00170696      0.00170696      0.00170696
        0.131826      0.00160148      0.00160148      0.00160148
        0.140174      0.00146322      0.00146322      0.00146322
         0.14905      0.00129299      0.00129299      0.00129299
        0.158489      0.00112435      0.00112435      0.00112435
        0.168526     0.000994583     0.000994583     0.000994583
        0.179198     0.000911073     0.000911073     0.000911073
        0.190546     0.000845123     0.000845123     0.000845123
        0.202613     0.000762625     0.000762625     0.000762625
        0.215443     0.000664943     0.000664943     0.000664943
        0.229087     0.000582869     0.000582869     0.000582869
        0.243594     0.000527787     0.000527787     0.000527787
         0.25902     0.000477614     0.000477614     0.000477614
        0.275423     0.000419122     0.000419122     0.000419122
